Symbols;LinearSVMImp
PNPLA8;0.4191206551510885
CYSLTR1;0.3448755379445804
LTB4R;0.2975330128456153
DAGLB;0.24985701309136257
LIPA;0.24138688506365116
PRXL2B;0.22308802955829954
PTGS2;0.20638921771031382
CYP4F22;0.19911508003415787
ACOT7;0.1990078921043794
PTGR2;0.19050461078152472
LPCAT3;0.18269009154833551
SOAT1;0.17117508962275962
MAPKAPK2;0.1709902287495808
CYP4F8;0.1709447617004722
CBR1;0.16187670489124348
AKR1C3;0.15282319790234064
MGLL;0.15058908189608258
DPEP2;0.14792291910697844
PTGDS;0.14602721050706563
ACOT8;0.13875550039801982
PTGDR;0.1383459262057541
PTGER2;0.13823472189164274
PLA2G12A;0.1373161420189648
ACOX1;0.13006252185207043
AKR1A1;0.12982735823321598
PNPLA2;0.12938390496316898
ALOX12;0.1270190987841249
CYP1B1;0.12264573031313321
PTGER4;0.11755801195028893
TBXAS1;0.11721164033386461
ABCC1;0.11629658952951373
PTGES2;0.11338859159024184
ACSL5;0.11266036193783818
AGPAT2;0.11039431301564445
PTGFR;0.10819182195520152
PLA2G4C;0.10550906842282855
CYP2D6;0.10446766730175246
CYP2U1;0.09991199888299389
ELOVL5;0.09794403622930282
DPEP3;0.09598613899115026
ACSL3;0.09456149250084328
RNPEPL1;0.09410690614678918
LTB4R2;0.09107139522880775
PTGIR;0.090660540867726
ABCC10;0.09051204630871765
PLB1;0.09011676950995938
TBXA2R;0.08736573736589168
ACOT13;0.08277485131746054
ALOX5AP;0.08216509320183425
LPCAT2;0.0821282476142547
MGST2;0.08196118036981442
ABCC11;0.08004846787820445
LTC4S;0.07825047139310985
AKR1B1;0.07427509432434555
PTGES3;0.07406504905846797
FADS1;0.07388654076603393
ACOT2;0.07263240305506745
AGPAT5;0.07091059127514737
PLAAT3;0.07087866015912256
OXER1;0.06966829152575786
ACSL6;0.06718901719892449
ACSL1;0.06708283079504475
LCAT;0.06596972256223482
ACSL4;0.06560393545314233
ABCC4;0.06520903607837174
ABCC6;0.05834493130199454
PTGR1;0.05727246955427053
ALOX15B;0.056229238205228585
FADS2;0.05499374879203699
GPX3;0.05440165877834137
PTGS1;0.053407127894281994
AOPEP;0.05314495649143341
EPHX2;0.05226101632756594
LPCAT1;0.04954098278671384
GGT1;0.049066137088942224
ACOT11;0.048016698485430394
ACAD9;0.047079635879164014
CYP4F3;0.0465684310625961
CYSLTR2;0.046475983738807715
ABCC2;0.04494020923517324
PLA2G4A;0.04468818264950159
RNPEP;0.04411468955678123
GPX4;0.04402158433899205
GGT5;0.04362811753833931
LTA4H;0.041975152208764
ALOX5;0.04152520855434466
PTGES;0.04099794408919547
PAFAH2;0.04053092317182241
GGT7;0.04036689495031724
ABCC3;0.04004367964753462
MGST3;0.039565296921749406
GPX7;0.03811073492436145
ACAT1;0.036726684114340616
HPGD;0.03580933265344182
AGPAT4;0.03449127329531725
ACOT1;0.033863288510553605
MBOAT7;0.03257357669586765
DAGLA;0.03239677817647649
AKR1C1;0.032033967813498335
LIPE;0.02781513810023888
PLA2G4B;0.02253685274591759
PLA2G6;0.019347983231342517
CBR3;0.016019979349049803
