Symbols;LinearSVMImp
PNPLA8;0.4191206553836912
CYSLTR1;0.34487553773992813
LTB4R;0.29753301263064186
DAGLB;0.2498570133096748
LIPA;0.241386885061789
PRXL2B;0.22308802961793578
PTGS2;0.20638921799792012
CYP4F22;0.19911508013808862
ACOT7;0.19900789215828443
PTGR2;0.1905046108476348
LPCAT3;0.18269009130759944
SOAT1;0.17117508960741418
MAPKAPK2;0.17099022830276356
CYP4F8;0.1709447614866474
CBR1;0.16187670529672585
AKR1C3;0.1528231977640676
MGLL;0.1505890817819616
DPEP2;0.14792291885144182
PTGDS;0.14602721062398635
ACOT8;0.13875550022086994
PTGDR;0.13834592611038013
PTGER2;0.1382347220244604
PLA2G12A;0.1373161422003051
ACOX1;0.13006252219984998
AKR1A1;0.12982735803030895
PNPLA2;0.1293839049775003
ALOX12;0.1270190988764199
CYP1B1;0.12264573037560408
PTGER4;0.11755801198514246
TBXAS1;0.1172116406026896
ABCC1;0.11629658970314555
PTGES2;0.11338859128428716
ACSL5;0.1126603619447433
AGPAT2;0.11039431285412896
PTGFR;0.1081918220280773
PLA2G4C;0.10550906847046297
CYP2D6;0.1044676673401453
CYP2U1;0.09991199872749229
ELOVL5;0.097944036245001
DPEP3;0.09598613902411952
ACSL3;0.09456149223908875
RNPEPL1;0.0941069060239231
LTB4R2;0.09107139534921249
PTGIR;0.0906605407373467
ABCC10;0.09051204663840234
PLB1;0.09011676940110384
TBXA2R;0.08736573762102084
ACOT13;0.08277485155883683
ALOX5AP;0.08216509329292297
LPCAT2;0.08212824746734536
MGST2;0.08196118056587709
ABCC11;0.0800484679650974
LTC4S;0.07825047134589924
AKR1B1;0.07427509444161716
PTGES3;0.07406504930695042
FADS1;0.07388654061449079
ACOT2;0.07263240298823473
AGPAT5;0.07091059163410575
PLAAT3;0.07087866012904322
OXER1;0.06966829143178517
ACSL6;0.06718901699309524
ACSL1;0.06708283043956044
LCAT;0.0659697226471893
ACSL4;0.06560393541208769
ABCC4;0.0652090360375962
ABCC6;0.058344931416415155
PTGR1;0.057272469554177245
ALOX15B;0.05622923818855374
FADS2;0.054993748920966555
GPX3;0.054401658684417924
PTGS1;0.05340712781734244
AOPEP;0.05314495643213328
EPHX2;0.052261016204610544
LPCAT1;0.0495409825427386
GGT1;0.04906613709453272
ACOT11;0.04801669843726487
ACAD9;0.04707963606217509
CYP4F3;0.04656843101945137
CYSLTR2;0.04647598364334106
ABCC2;0.04494020934861654
PLA2G4A;0.044688182807720626
RNPEP;0.04411468968685829
GPX4;0.04402158430080538
GGT5;0.043628117651829224
LTA4H;0.041975152344310505
ALOX5;0.04152520825020824
PTGES;0.04099794441371474
PAFAH2;0.04053092298651805
GGT7;0.04036689483239949
ABCC3;0.040043679741531404
MGST3;0.03956529670729242
GPX7;0.038110735006981145
ACAT1;0.03672668429206742
HPGD;0.03580933270978643
AGPAT4;0.034491273217101014
ACOT1;0.033863288279219736
MBOAT7;0.03257357652025677
DAGLA;0.03239677815408043
AKR1C1;0.03203396807784899
LIPE;0.027815138058337116
PLA2G4B;0.022536852915129323
PLA2G6;0.019347983163360775
CBR3;0.01601997957638943
